schedule,take_up,mean_contribution_per_enrollee,expected_claim_per_enrollee,min_subsidy_per_enrollee,subsidy_share_of_cost
flat,Random,10664.582778021251,19226.954007666318,11703.584185381838,0.5232250011603657
flat,Strong adverse selection,10664.582778021251,38981.81571219889,34356.097746220556,0.7631181347363507
graded,Random,17402.018823143353,19226.954007666318,4966.149531420133,0.22201860486296607
graded,Strong adverse selection,23332.043980590708,38981.81571219889,21688.635003711075,0.48174828752080046
exempt,Random,13675.447588510706,19226.954007666318,8692.722299993839,0.38862018409745736
exempt,Strong adverse selection,21273.274231834235,38981.81571219889,23747.40715319766,0.5274777374003273
