pool_size,risk_margin_basis,pure_premium,risk_margin,admin_load,adverse_selection_load,gross_premium_per_person
5000,Standard deviation,19242.451982143342,113.0524670695892,2903.3256673819396,2225.883011659487,24484.713128254356
5000,CVaR 95%,19242.451982143342,2588.0197825139185,3274.570764698589,2510.504252935585,27615.546782291436
20000,Standard deviation,19242.451982143342,56.5262335347946,2894.84673235172,2219.3824948029855,24413.20744283284
20000,CVaR 95%,19242.451982143342,1212.8957825368743,3068.3021647020323,2352.364992938225,25876.014922320475
100000,Standard deviation,19242.451982143342,25.27930013916579,2890.1596923423763,2215.7890974624884,24373.680072087373
100000,CVaR 95%,19242.451982143342,519.5379512578329,2964.298490010176,2272.6288423411347,24998.917265752483
