pool_size,take_up,years,initial_capital_mult,subsidy_fraction_of_premium,subsidy_per_enrollee,member_contribution,initial_capital,psi,mc_se,mean_terminal_surplus,p05_terminal_surplus,income_per_enrollee
5000,Random,1,0.1,0.55,14801.729505082194,8571.47462433637,11686602.064709282,0.0922,0.0028930807109377368,11487862.425652897,-3271295.621828991,23373.204129418562
5000,Random,1,0.1,0.6,16147.341278271482,8571.47462433637,12359407.951303925,0.0228,0.0014926540121541897,18215921.291599337,3456763.244117451,24718.81590260785
5000,Random,1,0.1,0.65,17492.953051460772,8571.47462433637,13032213.837898571,0.0045,0.0006693093455196931,24943980.157545794,10184822.110063909,26064.427675797142
5000,Random,1,0.1,0.7,18838.56482465006,8571.47462433637,13705019.724493215,0.0003,0.00017317909804592468,31672039.023492236,16912880.97601035,27410.03944898643
5000,Random,1,0.1,0.75,20184.176597839352,8571.47462433637,14377825.61108786,0.0,0.0,38400097.88943871,23640939.84195682,28755.651222175722
5000,Random,1,0.1,0.8,21529.788371028644,8571.47462433637,15050631.497682506,0.0,0.0,45128156.75538515,30368998.707903262,30101.262995365014
5000,Random,1,0.1,0.85,22875.400144217932,8571.47462433637,15723437.384277152,0.0,0.0,51856215.621331625,37097057.57384974,31446.874768554302
5000,Random,1,0.1,0.9,24221.011917407224,8571.47462433637,16396243.270871798,0.0,0.0,58584274.48727807,43825116.43979618,32792.486541743594
5000,Random,1,0.1,0.95,25566.623690596512,8571.47462433637,17069049.15746644,0.0,0.0,65312333.35322451,50553175.30574262,34138.09831493288
5000,Random,1,0.1,1.0,26912.235463785804,8571.47462433637,17741855.044061087,0.0,0.0,72040392.21917094,57281234.17168906,35483.71008812217
5000,Random,1,0.1,1.05,28257.847236975096,8571.47462433637,18414660.930655733,0.0,0.0,78768451.08511746,64009293.037635565,36829.321861311466
5000,Random,1,0.1,1.1,29603.459010164388,8571.47462433637,19087466.817250382,0.0,0.0,85496509.95106389,70737351.903582,38174.93363450076
5000,Random,1,0.1,1.15,30949.070783353673,8571.47462433637,19760272.70384502,0.0,0.0,92224568.8170103,77465410.76952842,39520.54540769004
5000,Random,1,0.1,1.2,32294.682556542964,8571.47462433637,20433078.59043967,0.0,0.0,98952627.68295678,84193469.63547489,40866.15718087934
5000,Random,1,0.1,1.25,33640.294329732256,8571.47462433637,21105884.47703431,0.0,0.0,105680686.54890323,90921528.50142133,42211.768954068626
5000,Random,1,0.1,1.3,34985.906102921545,8571.47462433637,21778690.363628957,0.0,0.0,112408745.41484965,97649587.36736777,43557.380727257914
5000,Random,1,0.1,1.35,36331.51787611084,8571.47462433637,22451496.250223603,0.0,0.0,119136804.28079614,104377646.23331425,44902.99250044721
5000,Random,1,0.1,1.4,37677.12964930012,8571.47462433637,23124302.136818245,0.0,0.0,125864863.14674258,111105705.09926069,46248.60427363649
5000,Random,1,0.1,1.45,39022.74142248942,8571.47462433637,23797108.023412894,0.0,0.0,132592922.01268901,117833763.96520713,47594.216046825786
5000,Random,1,0.1,1.5,40368.353195678705,8571.47462433637,24469913.910007536,0.0,0.0,139320980.87863544,124561822.83115357,48939.827820015074
5000,Random,1,0.1,1.55,41713.964968868,8571.47462433637,25142719.796602186,0.0,0.0,146049039.74458194,131289881.69710004,50285.43959320437
5000,Random,1,0.1,1.6,43059.57674205729,8571.47462433637,25815525.683196828,0.0,0.0,152777098.6105284,138017940.56304651,51631.05136639366
5000,Random,1,0.1,1.65,44405.18851524658,8571.47462433637,26488331.569791473,0.0,0.0,159505157.4764748,144745999.42899293,52976.663139582946
5000,Random,1,0.1,1.7,45750.800288435865,8571.47462433637,27161137.45638612,0.0,0.0,166233216.3424213,151474058.2949394,54322.274912772235
5000,Random,1,0.1,1.75,47096.41206162516,8571.47462433637,27833943.342980765,0.0,0.0,172961275.20836776,158202117.16088587,55667.88668596153
5000,Random,1,0.1,1.8,48442.02383481445,8571.47462433637,28506749.22957541,0.0,0.0,179689334.07431415,164930176.02683228,57013.49845915082
5000,Random,1,0.1,1.85,49787.635608003744,8571.47462433637,29179555.116170056,0.0,0.0,186417392.94026065,171658234.89277875,58359.110232340114
5000,Random,1,0.1,1.9,51133.247381193025,8571.47462433637,29852361.002764698,0.0,0.0,193145451.80620703,178386293.75872517,59704.722005529395
5000,Random,1,0.1,1.95,52478.85915438232,8571.47462433637,30525166.889359344,0.0,0.0,199873510.6721535,185114352.62467164,61050.33377871869
5000,Random,1,0.1,2.0,53824.47092757161,8571.47462433637,31197972.77595399,0.0,0.0,206601569.5381,191842411.4906181,62395.94555190798
5000,Random,1,0.1,2.05,55170.0827007609,8571.47462433637,31870778.66254863,0.0,0.0,213329628.40404648,198570470.35656458,63741.55732509727
5000,Random,1,0.1,2.1,56515.69447395019,8571.47462433637,32543584.54914328,0.0,0.0,220057687.26999286,205298529.222511,65087.16909828656
5000,Random,1,0.1,2.15,57861.30624713947,8571.47462433637,33216390.435737923,0.0,0.0,226785746.13593927,212026588.0884574,66432.78087147584
5000,Random,1,0.1,2.2,59206.918020328776,8571.47462433637,33889196.322332576,0.0,0.0,233513805.00188583,218754646.95440394,67778.39264466515
