model,term,coef,se,z,p,exp_coef,ci_low,ci_high
"Frequency: inpatient (Poisson, annual rate)",C(zone)[T.South West],-0.41091415579029,0.2531707386324432,-1.623071283869266,0.1045741674154235,0.6630438476328396,0.40368161092035115,1.0890442665482263
"Frequency: inpatient (Poisson, annual rate)",C(quintile)[T.2],0.27745385958561436,0.24004159962532104,1.1558574014616207,0.24773948930719636,1.3197652232245969,0.8244591563555642,2.112633756331154
"Frequency: inpatient (Poisson, annual rate)",C(quintile)[T.3],0.3439962386293724,0.24689869788917324,1.3932687437006406,0.16353853870810098,1.4105733298086092,0.8694232577991824,2.28854830017318
"Frequency: inpatient (Poisson, annual rate)",C(quintile)[T.4],0.9088100608747731,0.2574851004846174,3.5295636880125687,0.0004162455050921107,2.481368098949835,1.4980125515397666,4.110237685363257
"Frequency: inpatient (Poisson, annual rate)",C(quintile)[T.5],1.1008367281204419,0.2309694943685645,4.766156375455392,1.8777354471875572e-06,3.0066807460597826,1.9119745792281444,4.7281638610363075
"Frequency: inpatient (Poisson, annual rate)",female,0.34008379289318547,0.09790974006327398,3.473441893251958,0.0005138286095224007,1.4050653201193621,1.1597224420225565,1.7023112447139552
"Frequency: inpatient (Poisson, annual rate)",urban,-0.09811825198750404,0.18041781980121066,-0.5438390292910835,0.5865522484820803,0.906541697057911,0.6365214390729529,1.2911078842867494
"Frequency: inpatient (Poisson, annual rate)",chronic,0.8155463410775083,0.17533486123155553,4.651364453988754,3.29745979301323e-06,2.2604102900512864,1.603021062654674,3.1873908574278222
"Frequency: inpatient (Poisson, annual rate)",hhsize,-0.013601140597583869,0.014888511488794541,-0.9135325991332592,0.3609624966188546,0.9864909369890691,0.9581196404941089,1.0157023482575767
Severity: cost per outpatient episode (gamma),Intercept,8.002091570320529,0.16107903589787137,49.67804485367096,0.0,2987.1993951908494,2178.4669184285613,4096.165129312796
Severity: cost per outpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.0-4]",-0.5050224637046543,0.07048314357150193,-7.165152377069165,7.770008010574592e-13,0.6034920186083057,0.5256238557945306,0.692895903617998
Severity: cost per outpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.15-24]",-0.22412688588065685,0.0838162003507374,-2.674028230136598,0.007494614231284467,0.7992137189988436,0.6781365307220655,0.9419085091255046
Severity: cost per outpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.45-59]",0.1338985807302006,0.10020407150564485,1.3362588836787697,0.1814646705731976,1.14327686345998,0.9394117481801563,1.391383479134671
Severity: cost per outpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.5-14]",-0.4220338576590107,0.07837905336977781,-5.3845235367660464,7.263679917562792e-08,0.6557118381497774,0.5623354043211233,0.7645935350786328
Severity: cost per outpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.60+]",0.10941221779005542,0.08945378537095135,1.2231144533050162,0.22128647034237892,1.115622134860227,0.9362083776972916,1.3294185113482468
Severity: cost per outpatient episode (gamma),C(zone)[T.North East],0.06365910314089931,0.1125424637126031,0.5656451888547952,0.5716350022831076,1.065729033149873,0.8547689113195411,1.3287548915942868
Severity: cost per outpatient episode (gamma),C(zone)[T.North West],-0.019629349821206392,0.11433828118056286,-0.17167784593689797,0.8636908035851163,0.9805620514591982,0.7836973385500782,1.226879165547187
Severity: cost per outpatient episode (gamma),C(zone)[T.South East],-0.16616449876903633,0.11372909022413902,-1.461055376786685,0.14400024488318455,0.8469069075864002,0.6776844477981899,1.0583853775129752
Severity: cost per outpatient episode (gamma),C(zone)[T.South South],-0.15029129671072636,0.11514454062809949,-1.3052403170042242,0.19181102970866082,0.8604572915362436,0.6866197754748379,1.0783067674476274
Severity: cost per outpatient episode (gamma),C(zone)[T.South West],-0.24479869871368493,0.14767349747081757,-1.6577023156241066,0.09737756621315763,0.7828621135317431,0.5861152984313853,1.045652775901967
Severity: cost per outpatient episode (gamma),C(quintile)[T.2],0.11313998604764613,0.09411560978218503,1.2021383733207474,0.2293099211374392,1.1197886767684158,0.9311577178493783,1.3466318933755448
Severity: cost per outpatient episode (gamma),C(quintile)[T.3],0.39195782415482505,0.10228674670074019,3.8319512233737774,0.0001271309482426126,1.4798752950947431,1.2110355264781583,1.808395246174681
Severity: cost per outpatient episode (gamma),C(quintile)[T.4],0.6080871285477074,0.112361858193992,5.411864295603309,6.237195052848847e-08,1.8369142550933408,1.4738203196221742,2.2894608899340874
Severity: cost per outpatient episode (gamma),C(quintile)[T.5],1.085768683487783,0.1303711737638723,8.3282880113845,8.201977892765018e-17,2.961715565813787,2.2938719162584946,3.823996898262386
Severity: cost per outpatient episode (gamma),female,0.003730165530793167,0.0421395264668436,0.08851939837834086,0.9294638671808632,1.0037371312566472,0.9241662434737539,1.0901590874780058
Severity: cost per outpatient episode (gamma),urban,-0.04842080424456685,0.07774818632467337,-0.6227901451278037,0.533422435207723,0.952732788711087,0.8180700998271502,1.1095623307550202
Severity: cost per outpatient episode (gamma),chronic,0.6485162299839984,0.10344068139340513,6.269450483582609,3.623244894037458e-10,1.9127007145267974,1.561696131582159,2.3425965841670884
Severity: cost per outpatient episode (gamma),hhsize,0.03402473106611329,0.010156167793132146,3.3501544833792196,0.0008076650210043692,1.0346101934248184,1.0142187809396248,1.0554115861933158
Severity: cost per inpatient episode (gamma),Intercept,10.204941469954415,0.2505622373729582,40.72817028195877,0.0,27036.456364344664,16545.00437363335,44180.70592389871
Severity: cost per inpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.0-4]",-0.1230616597646419,0.23805641458195734,-0.5169432631367915,0.6051957657084037,0.8842091407524242,0.5545200953589735,1.4099142864858998
Severity: cost per inpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.15-24]",-0.10569256099461144,0.19063160128409443,-0.5544335791267889,0.579282150689644,0.89970120880575,0.6191978062991433,1.3072757314250962
Severity: cost per inpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.45-59]",-0.0201630303838522,0.16965610806226478,-0.11884647487287785,0.9053969879562814,0.9800388841663911,0.7027957273286538,1.366650617141487
Severity: cost per inpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.5-14]",-0.38264242165459506,0.1898315841120924,-2.0156941925356904,0.04383196327107324,0.6820567444086625,0.4701458437723677,0.9894831758176341
Severity: cost per inpatient episode (gamma),"C(age_band, Treatment(reference='25-44'))[T.60+]",0.6303025955601678,0.21577487615481,2.921112071953875,0.003487843362589404,1.8781788218588598,1.2304547768155156,2.866871463580841
Severity: cost per inpatient episode (gamma),C(quintile)[T.2],0.1838826709608142,0.2486151576642776,0.7396277551553144,0.4595258956300784,1.201874800007905,0.7383014728035411,1.9565219467988488
Severity: cost per inpatient episode (gamma),C(quintile)[T.3],0.24342012010173864,0.23333263281432604,1.043232218167442,0.29684075518212294,1.2756044186196875,0.8074195638207654,2.015267781105285
Severity: cost per inpatient episode (gamma),C(quintile)[T.4],0.28378443639630313,0.24845748716692412,1.142185086198046,0.253377093782708,1.328146599825344,0.8161213364430695,2.1614107018885336
Severity: cost per inpatient episode (gamma),C(quintile)[T.5],0.6923591782672289,0.2554759685720492,2.7100755587192156,0.006726788212237272,1.99842461619911,1.2112177759014466,3.2972608444903773
Severity: cost per inpatient episode (gamma),female,-0.14619616297209526,0.1301636499363728,-1.1231719688527446,0.2613644651347441,0.863988204066496,0.6694378712767697,1.1150782601264415
Severity: cost per inpatient episode (gamma),urban,0.2460498530751606,0.17202559045672478,1.4303095976703395,0.1526281813926043,1.2789633322075704,0.9129078776225275,1.7917987622052782
"Aggregate annual cost (Tweedie, p=1.70)",Intercept,8.878294144432374,0.1700753121417818,52.202133470324384,0.0,7174.541559444121,5140.710264381264,10013.02231422029
"Aggregate annual cost (Tweedie, p=1.70)","C(age_band, Treatment(reference='25-44'))[T.0-4]",-0.33856170253747786,0.07890880075381576,-4.290544265065468,1.782357532378578e-05,0.7127947967843199,0.6106551071010843,0.8320186246124295
"Aggregate annual cost (Tweedie, p=1.70)","C(age_band, Treatment(reference='25-44'))[T.15-24]",-0.6320794414216242,0.09344276676971687,-6.764348523405129,1.33910378193666e-11,0.531485458241212,0.44253874267885923,0.6383097457454892
"Aggregate annual cost (Tweedie, p=1.70)","C(age_band, Treatment(reference='25-44'))[T.45-59]",0.32006633768657794,0.09348593739724034,3.4236843165678748,0.000617783410643158,1.3772191228361876,1.1466376766289748,1.6541690116811123
"Aggregate annual cost (Tweedie, p=1.70)","C(age_band, Treatment(reference='25-44'))[T.5-14]",-0.8380846194213546,0.09270719548805463,-9.04012482536312,1.5649301308304113e-19,0.4325382057915718,0.3606704124496113,0.5187264965781747
"Aggregate annual cost (Tweedie, p=1.70)","C(age_band, Treatment(reference='25-44'))[T.60+]",0.6034455598826187,0.09078186007190374,6.6472041815915635,2.987125248897145e-11,1.828407848254107,1.5303754755331074,2.1844804186976736
"Aggregate annual cost (Tweedie, p=1.70)",C(zone)[T.North East],0.48502959810119683,0.12341936615408641,3.9299310409328134,8.497022693949786e-05,1.6242230820519368,1.2752313848248393,2.06872309736374
"Aggregate annual cost (Tweedie, p=1.70)",C(zone)[T.North West],0.2522392537926405,0.11327408805272172,2.2268045422289298,0.02596033969557429,1.286903897093202,1.0306833627281395,1.6068190292409925
"Aggregate annual cost (Tweedie, p=1.70)",C(zone)[T.South East],0.2880086920442736,0.10363587807876626,2.779044259415438,0.005451909618690632,1.333768897251306,1.088589009541094,1.6341699720309462
"Aggregate annual cost (Tweedie, p=1.70)",C(zone)[T.South South],0.20557289193105358,0.11212685319935567,1.8333957126715734,0.06674374473733041,1.2282285056465674,0.9859045440841633,1.5301129010254575
"Aggregate annual cost (Tweedie, p=1.70)",C(zone)[T.South West],0.0027769299855438245,0.12924467700513087,0.02148583639876777,0.9828581017726136,1.0027807892270706,0.7783782916341933,1.2918773841080395
"Aggregate annual cost (Tweedie, p=1.70)",C(quintile)[T.2],0.25089810658818384,0.1201910679366024,2.0874937788266092,0.03684352282717937,1.2851791263734509,1.015441621998801,1.6265685304634645
"Aggregate annual cost (Tweedie, p=1.70)",C(quintile)[T.3],0.6335938574725981,0.10632214359331503,5.959190024385806,2.534911992931208e-09,1.8843705840462008,1.529900125816693,2.3209701326896095
"Aggregate annual cost (Tweedie, p=1.70)",C(quintile)[T.4],1.0124602740328017,0.1203431480300972,8.413111096109857,3.9927646748388115e-17,2.752364262207852,2.174041122022395,3.484528859707989
"Aggregate annual cost (Tweedie, p=1.70)",C(quintile)[T.5],1.4942742289220672,0.13019836678567245,11.476904555814313,1.7234062306252406e-30,4.456101269530544,3.4524545091958974,5.751513443963243
"Aggregate annual cost (Tweedie, p=1.70)",female,0.1107103106485,0.05557226727967375,1.9921863200458922,0.046350618636973144,1.1170712563298408,1.0017902673989472,1.2456182020596465
"Aggregate annual cost (Tweedie, p=1.70)",urban,-0.14669896495029622,0.09569486214113665,-1.5329868466076642,0.1252790958192808,0.8635538982824025,0.7158669919242742,1.041709344963929
"Aggregate annual cost (Tweedie, p=1.70)",chronic,1.0872592089326478,0.1391336276549449,7.814496231127384,5.51832854037812e-15,2.9661333698318266,2.2581757537569866,3.8960418173795954
"Aggregate annual cost (Tweedie, p=1.70)",hhsize,-0.0018324451364150063,0.008568938792899387,-0.21384738305441672,0.8306660732032017,0.9981692327661293,0.9815448556683101,1.0150751761238037
