measure,cum_pop_share,cum_che_share
Capacity to pay >= 40%,0.24,0.3240284893102626
Capacity to pay >= 40%,0.245,0.33785726468235827
Capacity to pay >= 40%,0.25,0.3455253066934737
Capacity to pay >= 40%,0.255,0.3455253066934737
Capacity to pay >= 40%,0.26,0.347821114711037
Capacity to pay >= 40%,0.265,0.35217007620910745
Capacity to pay >= 40%,0.27,0.3580808220951135
Capacity to pay >= 40%,0.275,0.36313819118625934
Capacity to pay >= 40%,0.28,0.3711280258898309
Capacity to pay >= 40%,0.28500000000000003,0.3750671539725467
Capacity to pay >= 40%,0.29,0.38376490053397705
Capacity to pay >= 40%,0.295,0.38376490053397705
Capacity to pay >= 40%,0.3,0.388210069300769
Capacity to pay >= 40%,0.305,0.4053026611580675
Capacity to pay >= 40%,0.31,0.415160872365339
Capacity to pay >= 40%,0.315,0.4415125765486661
Capacity to pay >= 40%,0.32,0.4436131888622069
Capacity to pay >= 40%,0.325,0.4632272547389213
Capacity to pay >= 40%,0.33,0.465309464639278
Capacity to pay >= 40%,0.335,0.4661328127337322
Capacity to pay >= 40%,0.34,0.47263809366451603
Capacity to pay >= 40%,0.34500000000000003,0.48307138128239385
Capacity to pay >= 40%,0.35000000000000003,0.48416924279568213
Capacity to pay >= 40%,0.355,0.4955386479490735
Capacity to pay >= 40%,0.36,0.5009717336271972
Capacity to pay >= 40%,0.365,0.5050885343644387
Capacity to pay >= 40%,0.37,0.5066018471238246
Capacity to pay >= 40%,0.375,0.5116209512846119
Capacity to pay >= 40%,0.38,0.5116209512846119
Capacity to pay >= 40%,0.385,0.5116384644304526
Capacity to pay >= 40%,0.39,0.5186789939621677
Capacity to pay >= 40%,0.395,0.5257420295785137
Capacity to pay >= 40%,0.4,0.5275764395516961
Capacity to pay >= 40%,0.405,0.5375283130684392
Capacity to pay >= 40%,0.41000000000000003,0.5412890736004514
Capacity to pay >= 40%,0.41500000000000004,0.5432734965040595
Capacity to pay >= 40%,0.42,0.545145703901337
Capacity to pay >= 40%,0.425,0.5532852255947809
Capacity to pay >= 40%,0.43,0.5632479746270403
Capacity to pay >= 40%,0.435,0.5663266501519317
Capacity to pay >= 40%,0.44,0.5749021176537901
Capacity to pay >= 40%,0.445,0.575982937026141
Capacity to pay >= 40%,0.45,0.5800995940156537
Capacity to pay >= 40%,0.455,0.5852752052648512
Capacity to pay >= 40%,0.46,0.5876128524216326
Capacity to pay >= 40%,0.465,0.5876128524216326
Capacity to pay >= 40%,0.47000000000000003,0.5900761194184755
Capacity to pay >= 40%,0.47500000000000003,0.6052402729121982
Capacity to pay >= 40%,0.48,0.6070774171402721
Capacity to pay >= 40%,0.485,0.6078552442534204
Capacity to pay >= 40%,0.49,0.615906526702366
Capacity to pay >= 40%,0.495,0.6189610710724562
Capacity to pay >= 40%,0.5,0.6206032036502184
Capacity to pay >= 40%,0.505,0.6234291131634122
Capacity to pay >= 40%,0.51,0.6257021728572584
Capacity to pay >= 40%,0.515,0.6293486753404761
Capacity to pay >= 40%,0.52,0.6386048630547041
Capacity to pay >= 40%,0.525,0.6513857564505265
Capacity to pay >= 40%,0.53,0.665276608490621
Capacity to pay >= 40%,0.535,0.6762689268710719
Capacity to pay >= 40%,0.54,0.6851131971536734
Capacity to pay >= 40%,0.545,0.6927827915303094
Capacity to pay >= 40%,0.55,0.7013736709203404
Capacity to pay >= 40%,0.555,0.7051332099951158
Capacity to pay >= 40%,0.56,0.711515130331704
Capacity to pay >= 40%,0.5650000000000001,0.7180193469477999
Capacity to pay >= 40%,0.5700000000000001,0.7296851938604879
Capacity to pay >= 40%,0.5750000000000001,0.7382363109465453
Capacity to pay >= 40%,0.58,0.7428162104097056
Capacity to pay >= 40%,0.585,0.7435241878274189
Capacity to pay >= 40%,0.59,0.7455661478993552
Capacity to pay >= 40%,0.595,0.7468845942523238
Capacity to pay >= 40%,0.6,0.7471881284312353
Capacity to pay >= 40%,0.605,0.7520892738197469
Capacity to pay >= 40%,0.61,0.7545230676588952
Capacity to pay >= 40%,0.615,0.755475126916923
Capacity to pay >= 40%,0.62,0.7590245886515878
Capacity to pay >= 40%,0.625,0.7635724259384145
Capacity to pay >= 40%,0.63,0.7658394924515122
Capacity to pay >= 40%,0.635,0.7717262687822668
Capacity to pay >= 40%,0.64,0.7748675406160747
Capacity to pay >= 40%,0.645,0.7840556533190702
Capacity to pay >= 40%,0.65,0.7863692041379288
Capacity to pay >= 40%,0.655,0.787013685897917
Capacity to pay >= 40%,0.66,0.7873901332831869
Capacity to pay >= 40%,0.665,0.7926637618683713
Capacity to pay >= 40%,0.67,0.7926637618683713
Capacity to pay >= 40%,0.675,0.7981607575887115
Capacity to pay >= 40%,0.68,0.8011297698653909
Capacity to pay >= 40%,0.685,0.817639376288654
Capacity to pay >= 40%,0.6900000000000001,0.817933054232651
Capacity to pay >= 40%,0.6950000000000001,0.817933054232651
Capacity to pay >= 40%,0.7000000000000001,0.8327620480252715
Capacity to pay >= 40%,0.705,0.8339911793699785
Capacity to pay >= 40%,0.71,0.8440727696087339
