case,che10_pct,che_ctp40_pct,pure_premium,gross_premium,affordable_contribution,expected_claim_random,min_subsidy_random,expected_claim_adverse,min_subsidy_adverse
"x13, window scaled to a year (headline, full persistence)",14.016945694792799,6.641681695154318,19242.451982143342,24413.20744283284,10664.582778021251,19226.954007666318,11665.508977555393,38981.81571219889,34292.81659365784
"x13, independent 4-week windows (no persistence)",4.151201367298545,1.4005686743790968,17780.92788940241,22528.123113503872,10664.582778021251,17366.10985081899,9097.831884092679,30053.49520448762,23546.432328344526
"x12, window scaled",12.77591407705026,6.032484490453093,17890.03090127227,22697.885849552797,10635.15244471044,17873.908978774634,10149.76737497395,36294.79074774611,31311.438635265004
"x10, window scaled",9.666310796540696,4.868734811925968,15185.188739530118,19267.41681410613,10586.119223249361,15167.81892099127,7055.661429447382,30920.740818840546,25134.19620026338
