statistic,multinomial,direct_resampling,relative_difference
mean,106551633.82729797,106998533.45095102,-0.004176689242735431
sd,8756655.257582681,8380500.319730296,0.044884544299437605
p95,121812991.17928123,121464785.71575934,0.0028667194485217803
p99,128191863.58539371,127976142.71638308,0.0016856334659867147
