quantity,point_estimate,boot_mean,boot_se,ci_low,ci_high,n_replicates
che10_pct,14.016945694792799,14.032520254238097,0.9635428483436748,12.298775802927587,15.81091546721628,200
che_ctp40_pct,6.641681695154318,6.60936822374455,0.689730472598627,5.433691340632706,8.013406486854365,200
pure_premium,19242.451982143342,19257.219195136655,769.8547528672422,17847.547516049788,21054.03792200302,200
gross_premium,24413.20744283284,24431.96085594778,977.3306804239386,22635.954696701,26706.61432869883,200
affordable_contribution,10664.582778021251,10660.822684997562,44.05926002614694,10572.241797968107,10744.979858083452,200
expected_claim_random,19226.954007666318,19278.770213907806,808.7787531041195,17953.362146873893,21120.037880841486,200
min_subsidy_random,11689.304891091506,11758.43133233486,942.9960583779132,10151.88092186808,13885.786407655434,200
expected_claim_adverse,38981.81571219889,38979.67561871019,2425.8077036302625,34907.139709341296,44659.48093873883,200
min_subsidy_adverse,34324.48336246923,34339.58321183312,2802.1427685527683,29818.999782732542,40875.99260592479,200
