group,estimate,se,ci_low,ci_high,n,wtd_n,scenario,measure,estimate_pct,ci_low_pct,ci_high_pct
Q4,0.08631738104279477,0.012657554563099409,0.06150902996676931,0.11112573211882022,1016,42290878.59413037,"Vulnerable group only, fully subsidised","CHE, CTP >= 40%",8.631738104279476,6.150902996676931,11.112573211882022
Q5 (richest),0.05696415118769344,0.00963629503889605,0.03807735996705519,0.07585094240833169,1428,42285095.91731937,"Vulnerable group only, fully subsidised","CHE, CTP >= 40%",5.696415118769345,3.807735996705519,7.585094240833169
Q1 (poorest),0.23353147616561107,0.023555856040565728,0.18736284670109196,0.27970010563013015,700,42275561.8270552,"Informal sector, 50% take-up",CHE > 10%,23.353147616561106,18.736284670109196,27.970010563013016
Q2,0.13060381085794556,0.020660486762531266,0.09011000090031773,0.1710976208155734,707,42250411.20141057,"Informal sector, 50% take-up",CHE > 10%,13.060381085794557,9.011000090031773,17.10976208155734
Q3,0.12082451982597152,0.019621202183742633,0.0823676702124573,0.15928136943948573,834,42327655.09285391,"Informal sector, 50% take-up",CHE > 10%,12.082451982597151,8.236767021245731,15.928136943948573
Q4,0.12642043430478112,0.016291467406234314,0.09448974493325368,0.15835112367630855,1016,42290878.59413037,"Informal sector, 50% take-up",CHE > 10%,12.642043430478111,9.448974493325368,15.835112367630854
Q5 (richest),0.13375639846896742,0.014591499288203018,0.10515758538364767,0.16235521155428717,1428,42285095.91731937,"Informal sector, 50% take-up",CHE > 10%,13.375639846896743,10.515758538364766,16.235521155428717
Q1 (poorest),0.2729003776322237,0.02361672829222657,0.2266124407467915,0.3191883145176559,700,42275561.8270552,"Informal sector, 50% take-up","CHE, CTP >= 40%",27.29003776322237,22.66124407467915,31.918831451765588
Q2,0.16958863642378405,0.025306830065218083,0.11998816093308118,0.21918911191448692,707,42250411.20141057,"Informal sector, 50% take-up","CHE, CTP >= 40%",16.958863642378404,11.998816093308118,21.918911191448693
Q3,0.08745622209361088,0.012753805298926165,0.0624592230418795,0.11245322114534226,834,42327655.09285391,"Informal sector, 50% take-up","CHE, CTP >= 40%",8.745622209361088,6.24592230418795,11.245322114534225
Q4,0.05831466538518056,0.010821603026823412,0.03710471319761704,0.0795246175727441,1016,42290878.59413037,"Informal sector, 50% take-up","CHE, CTP >= 40%",5.831466538518057,3.710471319761704,7.95246175727441
Q5 (richest),0.034827185052362396,0.007068065559701238,0.02097403111498003,0.04868033898974476,1428,42285095.91731937,"Informal sector, 50% take-up","CHE, CTP >= 40%",3.4827185052362397,2.0974031114980027,4.868033898974476
Q1 (poorest),0.30957993770305275,0.02764129522206123,0.25540399458177365,0.36375588082433186,700,42275561.8270552,"Informal sector, full coverage",CHE > 10%,30.957993770305276,25.540399458177365,36.37558808243318
Q2,0.0780010522396512,0.016335883952439484,0.045983308037243986,0.11001879644205842,707,42250411.20141057,"Informal sector, full coverage",CHE > 10%,7.8001052239651205,4.598330803724399,11.001879644205841
Q3,0.06936916612437119,0.012042643284901964,0.04576601900730021,0.09297231324144217,834,42327655.09285391,"Informal sector, full coverage",CHE > 10%,6.936916612437119,4.5766019007300205,9.297231324144217
Q4,0.08390605318223093,0.014160260204061229,0.05615245317055513,0.11165965319390674,1016,42290878.59413037,"Informal sector, full coverage",CHE > 10%,8.390605318223093,5.615245317055513,11.165965319390674
Q5 (richest),0.07828794219107407,0.012116831956329437,0.05453938794994437,0.10203649643220378,1428,42285095.91731937,"Informal sector, full coverage",CHE > 10%,7.828794219107407,5.4539387949944365,10.203649643220377
