replicate,che10_pct,che_ctp40_pct,pure_premium,gross_premium,affordable_contribution,expected_claim_random,min_subsidy_random,expected_claim_adverse,min_subsidy_adverse
185,14.452058082056901,6.76780189390116,19742.363476850085,25045.990665846097,10653.382978970356,19385.32391961255,11851.374474154694,40162.770785751716,35737.332851160434
186,14.501694145276664,6.721468570934286,19372.07495468935,24580.693196722783,10667.835336758051,19233.877986065938,11719.242195954223,38355.211147488095,33536.54693851688
187,12.702904711823102,6.476976617651902,19476.263775720847,24714.62664687898,10621.165851524795,18810.125315827594,11329.542356674347,40588.71085989218,36278.802467356945
188,14.563983645420256,7.820411996515459,19605.10488669257,24871.41238817925,10624.67301165799,19388.1167895737,11894.182153654561,39431.881149565146,34854.150968295115
189,15.202549405435613,7.33315375323554,19383.46060228948,24587.302886003567,10622.442237760037,19947.304134390717,12522.35057108841,40199.039204373774,35791.00283429003
190,14.121270947179182,6.474010231820072,18700.78362083055,23726.85809784777,10572.301053610538,18915.557484970617,11332.111674051694,36889.54820029612,31827.865009880683
191,13.390160008136842,7.151771919660535,19099.08224344269,24237.725188214736,10676.06438988044,19122.62291302719,11539.222626901028,39010.372576731206,34337.81005610571
192,12.891928113726237,6.499476937739557,19844.121984692392,25184.4235947927,10673.959055638496,19179.311855906595,11644.215918638442,39780.651677522714,35271.23931785655
193,13.671956595060472,6.047411573281816,18905.542540484217,23983.951067076345,10633.929935896509,19425.686519856183,11900.07731261931,40599.71173521926,36163.33910153047
194,13.655456200697271,6.854001404440579,18929.982321737,24017.637190233007,10652.463388219408,18565.090113899903,10920.204609289069,37871.39560501654,33141.08025543469
195,13.204638670022934,6.582281566374911,18856.6738724486,23920.11145499165,10631.771017291103,18818.159556586463,11200.454045055423,37894.467055202425,33069.494746821525
196,14.168275380415485,7.148806773301011,19356.981734718556,24559.07348997343,10653.792930871065,19262.0275648647,11831.242445172782,40365.826617340965,36022.433743305846
197,12.39534959375446,6.030947912659784,18615.225922818783,23616.508619651682,10698.624765453971,18520.13649182559,10853.121219274388,37114.152310617035,32102.464634720418
198,14.457436089077289,5.375919886956409,18376.03033084001,23319.66819879709,10794.419886836882,18751.419062691835,11071.375540631618,39847.88527013746,35328.03976827929
199,14.005478193740457,7.339368894765569,20258.511779814435,25710.86891682216,10631.10753709667,19814.234276939886,12429.874254221982,40091.809402416264,35629.05640306167
