replicate,che10_pct,che_ctp40_pct,pure_premium,gross_premium,affordable_contribution,expected_claim_random,min_subsidy_random,expected_claim_adverse,min_subsidy_adverse
20,14.038905698858962,6.455898082103678,18832.295685397577,23889.22680874334,10702.70774736049,19432.75213674745,11900.562647370705,40897.69164392344,36466.903692636675
21,15.37392179023403,7.543598860039716,18797.307915750454,23841.943477912915,10683.19695117459,18998.487715769814,11341.724563729447,35727.692486254375,30433.179687119726
22,13.38048355747553,6.447546002526503,17795.278513613994,22574.122096527208,10569.930827913327,18924.8178973427,11413.06990583573,39802.24468388363,35322.83839568222
23,14.515806076902491,6.674405239320545,19066.30945895287,24186.902042192753,10674.760811196253,19203.625330696203,11597.78881950777,38430.89907846834,33522.40054928037
24,13.551994273411314,7.3355216418095806,20075.07285962378,25471.908430414445,10600.97807176379,19755.436119692502,12380.620581258343,41475.13668861989,37196.94667453305
25,14.322212521303912,6.383403224451188,18952.296379601357,24042.915379550224,10745.02899999864,19332.421309970603,11695.043882902231,38457.537970073114,33646.289814477524
26,13.845812988508074,6.355288775762012,19039.383728893547,24153.159056892644,10612.735201592812,19224.444076829917,11748.085966063616,39601.99387489169,35127.6513393833
27,13.403113729310737,6.72036736468823,20041.703943927114,25429.645823108873,10646.000174829476,19816.447651926894,12492.569880329756,40556.674403461104,36286.46346560912
28,15.093535003153228,7.683561126774068,20304.021448879234,25755.261878731642,10607.953858605977,20164.661755711808,12780.410184002649,40968.663837845634,36682.01096208008
29,14.127527781505783,6.840230395389418,19207.504748086612,24364.391547447773,10557.374670170406,19268.11653943805,11814.045800222737,37328.817180729515,32509.420989504244
30,13.85533433300096,6.584561483934359,19350.6635549418,24546.760678298393,10677.00065976267,19464.018969916444,11921.353129577537,39428.28842775314,34697.65631436152
31,15.129920248938511,7.00729432052075,19369.751763320302,24571.589836144343,10632.474772756961,19827.412512208946,12441.240407040303,39979.20543847126,35526.34655231818
32,12.798761336296982,5.5426688296490285,19385.092635985762,24606.2673882496,10758.096534093356,18687.05213576962,10968.88969974729,37580.880751408244,32616.484026797814
33,12.884684836788802,6.5035638466955845,19077.081811909353,24211.87673925715,10706.463561563156,18586.489945634632,10909.506501493284,38606.39440248272,33836.19752183306
34,14.729281652712936,6.489257757506402,18504.931527898065,23478.144896938906,10674.044303945122,18343.800534384416,10669.88181142779,37290.273006352916,32450.252764798508
35,14.302249621790219,5.749365554787795,18763.348690155763,23806.778230474574,10653.29084650715,19352.049271166263,11926.184553341165,41284.925699080726,37057.89219412889
36,13.569457835284767,6.523763182884733,18602.823413684164,23602.86387930401,10672.966162281391,18274.066289596467,10618.09423337852,36659.8740947624,31690.458958877345
37,13.631504051694723,7.1015285691328245,19326.771910599804,24517.678915485896,10698.609060542147,19582.75163710109,12172.449984785788,43498.69804232291,39605.75297075925
38,13.427438199607492,6.823161402290066,19036.048398378836,24151.194025900943,10692.818352490247,18377.496041299557,10699.237797045074,36850.5036307684,31893.43639193348
39,13.368218965067808,6.871393632149422,18524.732102154278,23497.639198418423,10653.68982641494,18942.66613580636,11352.518255560393,37387.05618562731,32398.792938317787
40,14.067436916289589,6.214941858422524,19342.900965208304,24531.54954535811,10621.763165842398,19130.21819400826,11541.72466987027,37556.83152993505,32691.89287913109
41,14.625082918821805,7.083136215785945,19753.928639134745,25061.92162008791,10705.854162636742,20272.48099969217,12831.067370300225,39578.38495420353,34893.03478018549
42,14.535686650665298,6.612428229851759,19729.49864833941,25027.64031552645,10637.492883458566,19969.56879417536,12576.630118704601,44746.3922647688,40951.30762847471
43,14.792584147746174,6.14816162896449,19825.352584468226,25154.59730403328,10669.571053072897,19783.30808627144,12324.510723270974,40749.24782759995,36551.92633583516
44,13.671446717302322,6.306002859351622,20362.12449275834,25834.131521779436,10593.290734641496,20602.04659593454,13378.30385728813,42836.95934634594,38881.17853981469
45,13.70344097984896,6.566766250443551,20069.694666901116,25469.586308001763,10661.265249830816,20010.111415518128,12634.378815200598,39784.79257885426,35269.625450451495
46,13.346364457271765,6.801301542997459,19179.475099275445,24328.065583631847,10781.64403155089,19405.650114998545,11825.53017816356,38355.138586826906,33535.493427079055
47,15.218407519616358,6.777544506244046,19710.36884941516,24999.378936526784,10671.43230698024,20354.875487254616,12997.713390952893,40741.22044516876,36180.61437942111
48,13.946225935118045,6.406612553997612,19825.628845950236,25156.63315956318,10569.537371376888,19662.265361525733,12266.921596261715,42517.43355339275,38445.38193676769
49,15.604568377713788,7.511250726796289,19690.28539152487,24977.745722729804,10524.451722378913,20026.093270097394,12726.089906410041,39051.7094961714,34609.08260546648
50,14.459042500901656,6.419183484451202,18822.590606486745,23880.70936637526,10680.523002252236,18701.503661614945,11096.587362079448,39448.75584438581,35135.62591399718
51,14.46268275451228,6.0407171659121035,19503.89643003799,24747.798120144435,10597.417212171522,19722.941362800935,12334.774677132902,41967.18742065992,37889.458340725076
52,15.0936645575845,7.247844237011443,20782.018671824808,26373.245131940337,10717.29991106587,20546.481188010002,13185.805928642138,41741.24582591215,37439.28377645624
53,12.436512552862766,5.614763947154873,18693.59854622666,23723.929920117647,10697.430711966364,18468.647392816674,10770.99286135042,37583.97531839552,32758.7966345249
54,13.324348035179764,7.060701169363044,18845.356428161766,23906.403148882244,10688.86209254871,19179.972983659318,11573.645822118455,39284.51930879839,34568.37420043917
55,15.79901071314401,7.606302062075468,20441.834671443215,25936.712599138147,10584.940710799105,20437.646595266553,13162.338057636582,39731.93527378035,35305.421250612286
56,13.407255130234224,6.265563298391689,19141.525922464018,24288.869678658153,10721.065745455504,19328.606209914127,11790.073378185582,40053.48694723422,35552.26053095708
57,14.119679610696673,6.841710988287166,20444.253204699802,25932.724433117193,10645.661639128257,20373.25811395218,13062.452103030042,41892.86052543125,37611.528851425406
58,14.64255310027973,7.616982575241352,18839.707605053933,23905.87899370868,10647.842927700493,18662.325564089202,11135.867534310084,37968.43933866891,33291.79231467429
59,14.080806968949252,6.435052163684485,21551.896052763303,27344.91151582377,10638.499455328369,21342.515926478576,14102.832263343034,41954.977963871665,37599.22970094349
60,15.048839000422177,7.577095137905814,20461.65546983767,25966.75544375385,10693.25159630656,19541.440900830363,11982.10883940457,38725.40966553822,34124.1932384067
61,13.463087977725774,6.426791516966518,18474.66405882583,23438.990586349522,10622.422321674045,18119.065944555776,10501.996024414213,35557.0527014128,30643.179719145654
62,12.778803789566062,6.164876634478649,18335.9168430168,23261.190204093407,10725.169717037657,18208.16393842848,10489.851322574232,38199.30714416931,33419.13882730458
63,14.06785599267095,6.2642952601192885,19459.54264516577,24688.962299493483,10685.306282971846,20061.577109745158,12760.899866786445,45676.352534568854,42092.15729012373
64,12.43765381762437,6.473398468922016,17434.358629920003,22122.07698196587,10658.6611159218,17323.04319157447,9582.696359823018,35526.85745273811,30533.075220913895
65,14.895953575264837,6.57657329877845,19621.930573533253,24898.08055562552,10686.872335724072,19591.883556669934,12060.449271402125,39399.82373179915,34906.032516381136
66,13.54808848290464,6.59134698678216,19141.74668304022,24285.470292540427,10625.46342325905,18858.500417014155,11252.340404004226,37271.504542890194,32315.996672542817
67,14.320602515416784,6.74684523607185,19273.1832208208,24450.114829769384,10688.96696362104,19498.716543109476,11985.33001827162,39113.791719068875,34486.269538893255
68,15.256223037116312,7.900011099154719,21053.44336354033,26705.80605680135,10696.706197656009,21119.579112888438,13856.861381137762,43373.79681741798,39448.7916337696
69,14.918419940931882,6.833472053935892,19375.49403225843,24582.566227127347,10689.99227535585,19488.2384021406,12020.067358820788,39865.85536414046,35375.592941601615
70,14.274619773958493,5.494345076346892,18938.997574496556,24028.720935842925,10665.667885039256,19864.974993579403,12348.77388449262,40003.21680322118,35355.259708100675
71,14.290910563266038,6.667230121370375,18814.52448888504,23863.15028136882,10739.077260598135,19555.95102965967,11968.441860628764,36225.508668467446,31136.856197276
72,13.267064046808727,6.15763599751138,17847.915743502854,22636.098762759124,10660.873198255289,18118.97358631902,10392.49689516778,38502.09653209984,33582.75400579779
73,13.918523102956314,6.758962287759207,19554.47916149293,24821.626229449867,10625.347001259082,18968.754723739585,11453.043117718677,40700.79955688982,36389.51726826066
74,15.24870181854618,6.971615557183458,19896.10730884294,25248.48293834733,10693.6502956258,19509.04498825728,12085.248153144568,39766.59367021816,35422.74487037081
75,15.65054750001999,6.923923229665604,20802.717063992233,26394.10623851497,10638.398854676472,20814.995955533366,13492.51085903847,39597.74067534575,34987.45138786289
76,14.422310614054007,6.322391197280402,19338.765293167133,24540.733794046733,10635.96857436659,19337.87147031433,11875.16699588118,39995.78261791548,35599.009272346804
77,15.181314166296053,5.852045617149738,18679.178326732075,23701.371756517798,10680.803911928377,19089.887505150196,11524.89969350355,38462.610350334755,33698.93923030248
78,14.00322587735627,6.0530428408659365,19301.14997824695,24486.618160537528,10689.941345088895,19260.219953533422,11673.002404266073,39148.64378291357,34558.291957751746
79,13.355266660457938,6.394986246461542,18182.231294716432,23063.470964535376,10628.781015107355,18107.185811961077,10504.317612420815,38430.14298080105,33719.899399496535
80,14.239038239941623,6.915990980888734,19635.62390663263,24910.67419819449,10730.486748419087,19206.722620502773,11592.786599504532,41502.55122100787,37274.29792963818
81,14.346676640006276,6.625797176843825,19783.734549835863,25095.750341437702,10699.244089789618,19464.028603362683,11901.324253796332,37450.73174118273,32587.10185035946
82,12.69417737523473,5.516275581501382,19508.37801374401,24753.12245553859,10674.99580263455,19705.518572925153,12282.490393180056,39907.31998998397,35365.93244004051
83,14.139277195932612,6.466641811182957,18815.53061485409,23876.45950191687,10653.031822483777,18578.965518324745,10932.59147106684,37574.13077606616,32576.647117649918
84,12.37048710828285,5.71976491562545,18280.504887648076,23188.79123177235,10655.779255561743,18479.018172752658,10778.322247828888,38231.13606583415,33406.968396834345
85,13.434661640869244,6.15937833959541,21255.042559064077,26966.078851321196,10603.265991403845,21545.862526456913,14492.365781754055,48177.3371139876,45001.45760373875
86,13.966383551277048,5.998584820829775,18508.446460257102,23483.33047067459,10776.196654064943,18379.18691363794,10614.0214781465,37872.24574304749,32957.33260641066
87,13.963959993624506,6.788178099897532,18437.23720009996,23401.462575670503,10705.468448301937,18110.09337596251,10403.453731208952,36400.40067935924,31497.426783462994
88,13.24663214577365,6.923442852431109,19160.53475490347,24313.870284449556,10661.110125690662,18742.56352312699,11102.214129995857,37665.68347807641,32779.66266632339
89,14.925015211116513,6.5683750143286135,19288.46446029249,24470.500401462636,10676.621421910759,19569.06494350572,12022.014493928567,41194.129242713054,36809.29418527414
90,14.197035130249763,7.440537559688138,19678.332965846916,24967.01878579727,10683.326293674187,19576.809126188276,12080.248196219549,39821.95618873927,35279.73136152753
91,14.575176370066384,6.1050655868562735,19573.540055967744,24841.156946839656,10627.671002622736,19443.125959578632,11999.707885638945,38325.24078390101,33652.13761557755
92,13.230507302304531,6.0083446527932916,17693.43660886609,22443.081317302942,10639.136996982965,17596.709811939192,9772.585317186642,33941.39993389069,28506.13939391209
93,14.255857236001853,6.819767884780823,19332.968996826232,24525.114673718963,10645.256647865788,19463.674993566245,11888.42222486985,35688.91813219079,30394.341107466767
94,13.256565761122447,6.404393916154885,20373.56725757094,25849.720363193257,10652.183074255767,19529.257385130102,12066.467765159794,42325.21563623188,38065.41260438625
95,17.333247992777082,9.101636578641411,20183.8682528801,25603.588672855934,10579.481219828502,20754.542095991685,13514.38429687979,40395.997961650304,36003.8447731175
96,14.070053397773544,6.666273206701683,19198.003922848824,24353.66391749044,10668.378968978383,19612.35456634374,12187.134629322654,40677.2699815449,36383.63763972225
97,13.905923190461976,6.9912644713217675,18275.044636360224,23183.382789079395,10686.578501550872,17960.27589815118,10152.551378802382,34654.028498713276,29248.24664385835
98,13.243960416225589,5.967218886371925,19517.372743917374,24765.543940334504,10655.80215070976,19102.27594069585,11537.238886117335,38134.25489159127,33247.79295823118
99,14.629852875385449,6.806377328114645,18917.53552841644,24000.81848100165,10629.192544469144,18379.426219730074,10718.024266499939,36640.808677139445,31689.399646446273
100,14.929390868339224,6.953358730134321,20272.316357656087,25714.36388823516,10681.614637339104,20310.392705722414,12954.085852349537,39765.291543384636,35191.62343613322
101,12.562384750095129,6.471839285513853,18061.096700669543,22908.4665744077,10701.63551208833,18114.65749256695,10372.545525029998,36036.027888397744,30867.509162264192
102,13.122933805860637,6.866701844473525,20124.47447707298,25536.449306764847,10672.457358618869,19845.208322179762,12351.044627592048,38099.94869099633,33340.858983043254
