poverty_line_naira,multiple_of_national_line,headcount_before_pct,headcount_after_pct,impoverishment_pp,impoverished_millions
209580.75,0.5,41.499110234654616,44.990899784427754,3.491789549773139,7.382676769857925
314371.125,0.75,65.66351892783503,68.09986979082393,2.436350862988901,5.1511669483575
419161.5,1.0,76.82147405442481,79.23710001481926,2.415625960394452,5.1073483691560355
523951.875,1.25,84.35595452860977,85.81952997549449,1.463575446884724,3.094431751579145
628742.25,1.5,88.93712008847554,90.15414563969716,1.2170255512216288,2.5731522868871997
