aggregate,mean_naira,ratio_to_official,spearman_vs_official,che10_pct,che25_pct,mean_oop_share_pct
Official aggregate,1041089.7098452854,1.0,1.0,14.145714306604223,2.451621680000776,4.9183044787992936
"Rebuilt, uncalibrated",873099.6442293938,0.8386401632565782,0.8500062661524209,17.64830665385764,4.0227082814630135,5.934366162521769
"Rebuilt, calibrated",1000750.5254579411,0.9612529218127235,0.8413379117337286,15.23361324758893,2.7144150071266875,5.180446637578523
