scenario,payment_basis,share_of_population_covered,che10_pct,che10_se,che10_change_pp,che10_change_se,che25_pct,che25_se,che25_change_pp,che25_change_se,che_ctp40_pct,che_ctp40_se,che_ctp40_change_pp,che_ctp40_change_se,poverty_after_payments_pct,poverty_after_payments_se,mean_household_health_payments
Baseline (no coverage),Out-of-pocket only,0.0,14.016945694792799,0.9797799478080599,0.0,0.0,2.581810135962635,0.36086000350013503,0.0,0.0,6.641681695154318,0.681469901279033,0.0,0.0,57.14444946023981,1.8533777506056621,109423.47088201865
Baseline (no coverage),OOP plus member contribution,0.0,14.016945694792799,0.9797799478080599,0.0,0.0,2.581810135962635,0.36086000350013503,0.0,0.0,6.641681695154318,0.681469901279033,0.0,0.0,57.14444946023981,1.8533777506056621,109423.47088201865
"Vulnerable group only, fully subsidised",Out-of-pocket only,0.3299091037357232,9.385925641770152,0.6969478943094769,-4.631020053022646,0.6745622175894969,1.8420062045346859,0.2460469197515553,-0.7398039314279491,0.1912907250632306,3.722171055176278,0.468756616154442,-2.9195106399780406,0.43735611730000734,57.14444946023981,1.8533777506056621,90499.58351332179
"Vulnerable group only, fully subsidised",OOP plus member contribution,0.3299091037357232,9.385925641770152,0.6969478943094769,-4.631020053022646,0.6745622175894969,1.8420062045346859,0.2460469197515553,-0.7398039314279491,0.1912907250632306,3.722171055176278,0.468756616154442,-2.9195106399780406,0.43735611730000734,57.14444946023981,1.8533777506056621,90499.58351332179
"Informal sector, 50% take-up",Out-of-pocket only,0.3828121578993866,8.588673186974697,0.7463062435348454,-5.428272507818102,0.581493110299512,1.3742055533177497,0.20531142359168286,-1.2076045826448853,0.2608017950859494,3.6622857189545064,0.5375331541647103,-2.979395976199812,0.3676960661798886,56.091265172284935,1.8471713411873345,77728.18689531532
"Informal sector, 50% take-up",OOP plus member contribution,0.3828121578993866,11.729378380214724,0.9042029202156104,-2.287567314578074,0.5625543503013694,1.6245667067667033,0.2675017994993202,-0.9572434291959319,0.215583231369021,5.526059290735419,0.6678116903402253,-1.1156224044188998,0.3234001436733556,57.14444946023981,1.8533777506056621,109041.50150179844
"Informal sector, full coverage",Out-of-pocket only,0.7598177792332445,3.5123813949441653,0.5061869068204908,-10.504564299848633,0.8433507033786385,0.37662127429236153,0.09908984803110502,-2.205188861670273,0.345697792481426,1.0857174064445656,0.26132252524165567,-5.5559642887097525,0.551853673127393,55.70062291216009,1.8523685005910542,49401.278900706966
"Informal sector, full coverage",OOP plus member contribution,0.7598177792332445,9.616338850161968,0.8535366021090245,-4.400606844630831,0.8070758938407734,0.7189370346702985,0.20676395655782834,-1.8628731012923363,0.28228128304472183,4.5109653614298315,0.6802603385264518,-2.1307163337244868,0.49989045142472716,57.14444946023981,1.8533777506056621,110429.02868932659
"Informal sector, full coverage, no contribution",Out-of-pocket only,0.7598177792332445,3.668585074827238,0.5262975640490015,-10.348360619965561,0.8209328132184027,0.4625267145199896,0.1255913122718916,-2.1192834214426455,0.31612993746991236,1.3335326742998905,0.34655063438391837,-5.308149020854428,0.5407690400964159,57.14444946023981,1.8533777506056621,49401.278900706966
"Informal sector, full coverage, no contribution",OOP plus member contribution,0.7598177792332445,3.668585074827238,0.5262975640490015,-10.348360619965561,0.8209328132184027,0.4625267145199896,0.1255913122718916,-2.1192834214426455,0.31612993746991236,1.3335326742998905,0.34655063438391837,-5.308149020854428,0.5407690400964159,57.14444946023981,1.8533777506056621,49401.278900706966
"Informal sector, full coverage, graded contribution",Out-of-pocket only,0.7598177792332445,3.5805414945340126,0.5259611822400656,-10.436404200258785,0.8219691358239108,0.4422217961544959,0.12479660120221292,-2.139588339808139,0.3172677398454329,1.117991348150098,0.31661210167675063,-5.52369034700422,0.5449801986648858,55.0345406132074,1.845441377278841,49401.278900706966
"Informal sector, full coverage, graded contribution",OOP plus member contribution,0.7598177792332445,7.598403378578247,0.6583865011634753,-6.41854231621455,0.6492232944125212,0.6870524861757858,0.15972227859856927,-1.894757649786849,0.2862252962114832,3.038657432200267,0.4704144603358474,-3.6030242629540514,0.4329685203953322,57.14444946023981,1.8533777506056621,133639.75877737606
"Informal sector, full coverage, Q1-Q2 exempt",Out-of-pocket only,0.7598177792332445,3.6166657327026597,0.5259858386991039,-10.400279962090138,0.8214086202633065,0.4422217961544959,0.12479660120221292,-2.139588339808139,0.3172677398454329,1.2489609143802032,0.34472086994566703,-5.392720780774115,0.5417496520654759,55.0345406132074,1.845441377278841,49401.278900706966
"Informal sector, full coverage, Q1-Q2 exempt",OOP plus member contribution,0.7598177792332445,5.855465877223686,0.5718576167978476,-8.161479817569111,0.7301034946242851,0.6346603124481859,0.1531220004951292,-1.947149823514449,0.28495362479343483,1.84917733560162,0.3645115819503139,-4.792504359552698,0.5018281085799126,57.14444946023981,1.8533777506056621,106863.82094898248
Universal coverage,Out-of-pocket only,0.9496189155260312,1.793265718433109,0.3105831865914969,-12.223679976359689,0.8704956692245684,0.25165715691731433,0.085276271013968,-2.330152979045321,0.34969232840710085,0.712108768492942,0.2349167830577666,-5.929572926661376,0.5688062848673888,55.23217775880461,1.8471083198403289,31270.26940123993
Universal coverage,OOP plus member contribution,0.9496189155260312,8.755185661093149,0.9378800256358505,-5.261760033699649,0.9556041794515105,0.6404361663965471,0.20348169094609905,-1.9413739695660879,0.2857955051887684,4.199218728287043,0.6690859590533035,-2.442462966867275,0.513644310633585,57.14444946023981,1.8533777506056621,109648.59501692517
