scheme,annual_premium_naira,year,source,modelled_premium_per_person,ratio_modelled_to_published
"Lagos LASHMA 'Ilera Eko' Standard, individual",15000,2024,"Lagos State launch announcement, 17 Jul 2024",24413.20744283284,1.6275471628555227
"Lagos LASHMA 'Ilera Eko' Standard, family of four",55000,2024,"Lagos State launch announcement, 17 Jul 2024",24413.20744283284,0.4438764989605971
"Lagos LASHMA 'Ilera Eko' Standard, family of six",80000,2024,"Lagos State launch announcement, 17 Jul 2024",24413.20744283284,0.3051650930354105
