outcome,controls,informal_coef_pp,se_pp,p_value
CHE > 10%,Unadjusted,5.635393004195513,1.8798354439062728,0.00271925478122797
CHE > 10%,Consumption quintile,5.60558167562007,1.8154442436228508,0.0020169909681022136
CHE > 10%,"Quintile, zone, residence, household size",5.33944785856969,1.8448005500461204,0.0037997759619442456
"CHE, CTP >= 40%",Unadjusted,5.707636367209198,0.9634131611578672,3.1345662877922104e-09
"CHE, CTP >= 40%",Consumption quintile,4.994985920204999,0.9122105916021439,4.3580060122498755e-08
"CHE, CTP >= 40%","Quintile, zone, residence, household size",3.808438377737991,1.0685143275864366,0.00036491603142327936
