take_up,retention,reinsurance_premium_per_enrollee,expected_retained_claim_per_enrollee,sd_pool_claims_per_enrollee,p99_pool_claims_per_enrollee,min_subsidy_per_enrollee
Random,,0.0,21341.950485597066,850.467122277021,23426.028342919682,15333.811122126765
Random,250000.0,8260.139764597228,14987.996820522278,314.5562956912362,23949.59279920338,16398.791578489643
Random,500000.0,4812.087555788447,17640.344673452113,426.8886295469995,23467.78753199845,15725.566656837604
Random,1000000.0,2653.8719182425352,19300.51054848743,553.7494562772406,23239.92490648088,15403.463479809878
Strong adverse selection,,0.0,52717.90992225963,1477.1356258072503,56201.027452620365,51388.48488396732
Strong adverse selection,250000.0,28937.13082387601,30458.578519278075,474.79607341327244,60493.75627799683,56853.0572929293
Strong adverse selection,500000.0,17322.200404167084,39393.14038059263,717.357952931026,58369.29528771751,54312.08608069389
Strong adverse selection,1000000.0,8670.502037847995,46048.29297006887,980.6689381031383,57090.893520454265,52584.61406473661
