outcome,informal,informal_se,formal,formal_se,difference_pp,z,p_value
CHE > 10%,16.73011127145999,0.9272023006922677,16.42958665062391,2.0341856260834685,0.3005246208360818,0.1344307581799058,0.8930619608609982
CHE > 25%,4.721980535526333,0.5716668997895138,4.318833568979804,1.1737607678373765,0.403146966546529,0.30878960989858656,0.7574815732699336
"CHE, CTP >= 40%",12.528687004996755,0.8615745722045015,6.554857709854228,1.3236255979186595,5.973829295142527,3.7824993282266943,0.00015526151248335118
OOP share of consumption,5.55941768110981,0.23979056761657147,5.167716286792793,0.45799034635479213,0.3917013943170178,0.7576915835082264,0.44863563873386014
