quintile,mean_consumption_per_capita,mean_household_size,mean_household_size_pop_weighted,premium_per_person,premium_per_household,premium_pct_of_per_capita_consumption,exceeds_5pct_threshold,pool_size,risk_margin_basis
Q1 (poorest),134549.28173848958,8.958917719874398,10.609627754041762,24413.20744283284,218715.91675856468,18.144435352900977,True,20000,Standard deviation
Q2,210521.53890837397,7.721899188435019,9.49574775739889,24413.20744283284,188516.32673990668,11.596536662910433,True,20000,Standard deviation
Q3,296959.0825305997,5.824483479164039,7.269523907220887,24413.20744283284,142194.32342418443,8.221067776338248,True,20000,Standard deviation
Q4,420712.66397386696,4.980052374625702,6.386009389425008,24413.20744283284,121579.05169790954,5.802822100061455,True,20000,Standard deviation
Q5 (richest),805930.5649533109,3.4419226954075706,4.893599340834118,24413.20744283284,84028.37276517937,3.0291948840837355,False,20000,Standard deviation
