decile,n,predicted_mean,observed_mean,observed_zero_pct,ratio_obs_pred,lift
1,2463.0,2894.2844278620228,3103.7119498461284,89.08590475029693,1.072358998296103,0.15775227497834662
2,2463.0,4364.965660829031,4038.718622820325,87.98702207455305,0.9252578225445325,0.2052758313408908
3,2463.0,5836.9075708476375,6120.69695974049,84.7269665719478,1.0486198188763918,0.3110964823588029
4,2463.0,7534.908545792782,7537.859713042152,83.5012141708434,1.0003916659679988,0.38312657147805834
5,2463.0,9337.75859360559,10092.81344129043,81.10264994203969,1.0808603949348075,0.5129871286459218
6,2462.0,12077.60611151463,12675.347167117574,77.67048443398376,1.049491683209727,0.6442494935305675
7,2463.0,15781.403420288058,12852.877188918155,80.18562767562102,0.8144318250172171,0.6532728066693353
8,2463.0,21975.301543106107,18609.04944053126,75.67903305445212,0.846816568320043,0.9458416025281833
9,2463.0,32965.36545801155,37389.07855713266,69.446368856764,1.1341927516246002,1.900373583967484
10,2463.0,82286.19890370188,83195.35213603625,55.66446440625358,1.0110486721278538,4.2285676890005925
