measure,dimension,group,incidence_pct,incidence_se,ci_low,ci_high,mean_overshoot_pct,mean_positive_overshoot_pct,n
Budget share > 25%,Overall,All households,4.64147420850311,0.5266421175208014,3.6092746254204293,5.6736737915857915,0.5134891661378604,11.063061929702336,4685
Budget share > 25%,Sector,Formal,4.318833568979804,1.1737607678373765,2.0183047375524663,6.619362400407142,0.314043354251842,7.271485442446105,809
Budget share > 25%,Sector,Informal,4.721980535526333,0.5716668997895138,3.6015340007852177,5.842427070267449,0.563255524705805,11.928374555297102,3876
Budget share > 25%,Consumption quintile,Q1 (poorest),4.545148639648952,1.0874366851731365,2.4138119012419823,6.676485378055921,0.5490885689511266,12.080761543445055,700
Budget share > 25%,Consumption quintile,Q2,4.309776069210037,1.305118381628183,1.7517910456575962,6.867761092762478,0.3309162244490481,7.678269569808615,707
Budget share > 25%,Consumption quintile,Q3,2.9857614493031712,0.7132744994650507,1.5877691192608374,4.383753779345505,0.30182572184147194,10.108835784985878,834
Budget share > 25%,Consumption quintile,Q4,5.48461095517157,1.203319870645692,3.1261473468246175,7.843074563518523,0.4700092501373744,8.569600541934363,1016
Budget share > 25%,Consumption quintile,Q5 (richest),5.883331274094718,1.0045358439418335,3.9144771987891764,7.852185349400259,0.9156833163893162,15.564027822489303,1428
Budget share > 25%,Residence,Rural,5.377933679325565,0.7334962304924066,3.940307484764558,6.815559873886573,0.6056205742186948,11.261213141152835,3205
Budget share > 25%,Residence,Urban,3.354252104723838,0.6782450967171473,2.024916142467344,4.683588066980332,0.3524571071685914,10.507770321503902,1480
Budget share > 25%,Zone,North Central,7.896756886246072,1.8662114714534712,4.239049614661768,11.554464157830374,0.6453108033918957,8.17184589430435,804
Budget share > 25%,Zone,North East,3.795650531281263,1.0980009105896655,1.6436082915333348,5.947692771029192,0.4640199457330099,12.225043952515168,808
Budget share > 25%,Zone,North West,1.9402794911519465,0.8616902133385409,0.2513977071777706,3.629161275126122,0.267445299156456,13.783854355831663,773
Budget share > 25%,Zone,South East,9.82361088166731,1.5826838157542638,6.721607603874527,12.925614159460094,1.0420083346426479,10.607182503403404,786
Budget share > 25%,Zone,South South,6.171196940924726,1.7291390417515908,2.782146694829507,9.560247187019945,0.7113059915894914,11.526224140934731,762
Budget share > 25%,Zone,South West,2.5681567249321495,0.6274927621482537,1.338293510562014,3.7980199393022858,0.3580177781578081,13.94065146733858,752
Budget share > 40%,Overall,All households,1.1347350070933584,0.21886309709501298,0.7057712192422401,1.5636987949444767,0.13490965633355861,11.889089125674532,4685
Budget share > 40%,Sector,Formal,0.3829179854776183,0.22115491993830386,-0.0505376926052964,0.816373663560533,0.03252190340257609,8.493177295396851,809
Budget share > 40%,Sector,Informal,1.3223308012662411,0.2678370551945236,0.7973798193597084,1.8472817831727741,0.16045777678364562,12.134465644299748,3876
Budget share > 40%,Consumption quintile,Q1 (poorest),1.1295054463161938,0.4206337833348512,0.3050783802990611,1.9539325123333264,0.12055994428530656,10.673693046678501,700
Budget share > 40%,Consumption quintile,Q2,1.0483049681596495,0.6029663890697246,-0.13348743830517637,2.230097374624475,0.04143984758272023,3.953033596270168,707
Budget share > 40%,Consumption quintile,Q3,0.47353439738171343,0.2827847365198676,-0.08071350157487553,1.0277822963383023,0.08925796560462637,18.849309806881045,834
Budget share > 40%,Consumption quintile,Q4,0.42291784958942996,0.234085403618152,-0.035881110808669986,0.8817168099875299,0.056896767503520435,13.453385228066397,1016
Budget share > 40%,Consumption quintile,Q5 (richest),2.6001031304269526,0.7247401621844208,1.1796385143957702,4.020567746458135,0.3663704680233838,14.090612935157827,1428
Budget share > 40%,Residence,Rural,1.2756135442366456,0.2684527876632028,0.7494557488673895,1.8017713396059016,0.1688188458501892,13.234325287069133,3205
Budget share > 40%,Residence,Urban,0.8885001847528818,0.37669119929431794,0.1501990008428188,1.626801368662945,0.0756414141609081,8.51338192821493,1480
Budget share > 40%,Zone,North Central,0.9138313626264417,0.6068458122512507,-0.275564573554965,2.1032272988078486,0.07635456174298973,8.355432398767663,804
Budget share > 40%,Zone,North East,1.2649726728024482,0.5128027357826215,0.259897779494901,2.2700475661099957,0.15713560566187476,12.422055356638898,808
Budget share > 40%,Zone,North West,0.4558200449516091,0.31558262354079936,-0.16271053133501984,1.074350621238238,0.06215348491187893,13.635531302375542,773
Budget share > 40%,Zone,South East,2.6609991361343583,0.7761294465939188,1.139813373469274,4.182184898799442,0.21583927859306692,8.11121190015181,786
Budget share > 40%,Zone,South South,1.8909068009029848,0.8995912599480488,0.12774033059779963,3.65407327120817,0.2250884581105392,11.903730950835353,762
Budget share > 40%,Zone,South West,0.7682494484966876,0.35502792824792484,0.07240749562488448,1.464091401368491,0.15691856088932252,20.425470034034014,752
Capacity to pay >= 40%,Overall,All households,11.335744741445973,0.759452604623934,9.847244988417925,12.824244494474021,2.297376892203228,20.266660414498514,4685
Capacity to pay >= 40%,Sector,Formal,6.554857709854228,1.3236255979186595,3.960599208918361,9.149116210790096,1.1242609136682398,17.1515685531676,809
Capacity to pay >= 40%,Sector,Informal,12.528687004996755,0.8615745722045015,10.840031873480429,14.217342136513084,2.590096553135101,20.67332795609073,3876
Capacity to pay >= 40%,Consumption quintile,Q1 (poorest),15.027697146456331,1.8684173648844276,11.365666403193622,18.689727889719045,3.502628535366712,23.307819562977176,700
Capacity to pay >= 40%,Consumption quintile,Q2,14.890847903122209,2.290407740358759,10.401731222107275,19.379964584137145,3.2366072530847925,21.735547056431646,707
Capacity to pay >= 40%,Consumption quintile,Q3,12.43503733650002,1.602922019863782,9.29336790754081,15.57670676545923,1.878329539348796,15.105137914105152,834
Capacity to pay >= 40%,Consumption quintile,Q4,8.631738104279476,1.265755456309941,6.150902996676931,11.112573211882022,1.6104645281659458,18.65747672959984,1016
Capacity to pay >= 40%,Consumption quintile,Q5 (richest),5.696415118769345,0.9636295038896049,3.807735996705519,7.585094240833169,1.2604124688034015,22.12641534235134,1428
Capacity to pay >= 40%,Residence,Rural,13.14086748201683,1.0470851471799536,11.088618304797299,15.193116659236361,2.7672656716547364,21.05847026797673,3205
Capacity to pay >= 40%,Residence,Urban,8.180657484434377,1.1072995965010661,6.010390155196553,10.3509248136722,1.4760808844916755,18.043548300369086,1480
Capacity to pay >= 40%,Zone,North Central,17.634137305873992,2.1835764487229574,13.354406108887124,21.91386850286086,3.7521653098007346,21.277850142126745,804
Capacity to pay >= 40%,Zone,North East,16.36767332451859,1.7418354895143051,12.953738498076858,19.781608150960324,3.6134363211767466,22.076664468638064,808
Capacity to pay >= 40%,Zone,North West,8.207688592898089,1.6576933501975015,4.958669329099443,11.456707856696735,1.4312341171916065,17.4377244091597,773
Capacity to pay >= 40%,Zone,South East,19.073300427121104,2.3298976793624395,14.506784887907271,23.639815966334936,3.9099779629686973,20.499745064618917,786
Capacity to pay >= 40%,Zone,South South,8.748993070381083,1.5304710816382847,5.749324870989983,11.748661269772182,1.7517226020370869,20.02199096450749,762
Capacity to pay >= 40%,Zone,South West,4.46146916726308,0.9372236336233323,2.6245445999015855,6.298393734624574,0.8583809695081199,19.239872278097575,752
