outcome,mean,CI,CI_se,CI_ci_low,CI_ci_high,Erreygers,Erreygers_se
"CHE, budget share > 10%",0.14016945694792798,-0.02612840387034559,0.03721482766365822,-0.09906812578198057,0.0468113180412894,-0.014649616725689924,0.02133387835530455
"CHE, budget share > 25%",0.02581810135962635,0.10398222147141352,0.08703283986066865,-0.06659901012773904,0.27456345307056607,0.010738494134192278,0.008303043750833322
"CHE, capacity to pay >= 40%",0.06641681695154318,-0.17415216689903362,0.046098947505168915,-0.26450444373436727,-0.08379989006369998,-0.04626653036259085,0.01490858697075944
OOP share of consumption,0.04755071635867038,-0.01286492369810565,0.019680940392179342,-0.05143885804865677,0.02570901065244547,,
Sought care when ill (any member),0.6700391084684025,-0.03315136054538316,0.009801539691386526,-0.05236202533354059,-0.013940695757225733,-0.08885083225737243,0.0264709367784352
