group,mean_consumption_per_capita,affordable_contribution
All informal households,309930.7118478116,15496.53559239058
"Informal, quintile 1",100977.33203814838,5048.866601907419
"Informal, quintile 2",172664.50881072725,8633.225440536362
"Informal, quintile 3",240646.63661130652,12032.331830565327
"Informal, quintile 4",355308.6592556051,17765.432962780254
"Informal, quintile 5",774008.4205861957,38700.421029309786
