pool_size,risk_margin_sd,risk_margin_cvar,sd_of_pool_mean
5000,158.84844847041464,3458.7188341819383,1545.2460992611702
20000,79.42422423520732,1638.81566227214,792.4985974455356
100000,35.51959289002196,725.3762069630975,354.2539373914033
